x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
694289.6,4399703.58,0.1,0.0,6.24566072826171,0
694289.6,4399703.58,0.1,0.0,6.24566072826171,0.10538126
694289.61,4399703.58,0.1,0.0,6.246882458738105,4.671833311
694289.6,4399703.58,0.16,0.06,6.247056991663304,6.603965998
694289.59,4399703.59,0.3,0.2,6.246882458738105,6.838003183
694289.58,4399703.6,0.52,0.42,6.246707925812904,7.072837168
694289.56,4399703.61,0.81,0.71,6.246707925812904,7.306297253
694289.55,4399703.63,1.17,1.07,6.246707925812904,7.538340493
694289.54,4399703.64,1.57,1.47,6.246882458738105,7.804316915
694289.53,4399703.64,2.01,1.91,6.246882458738105,8.039100731
694289.52,4399703.65,2.47,2.37,6.247056991663304,8.273351612
694289.52,4399703.66,2.95,2.85,6.247056991663304,8.505843251
694289.51,4399703.66,3.45,3.35,6.2355378186001404,8.737772271
694289.5,4399703.67,3.96,3.86,6.235363285674941,9.004491798
694289.5,4399703.67,4.47,4.37,6.235363285674941,9.239473681
694289.5,4399703.67,5.0,4.9,6.235363285674941,9.47320686
694289.5,4399703.67,5.54,5.44,6.2355378186001404,9.705334679
694289.5,4399703.67,6.09,5.99,6.2355378186001404,9.938387425
694289.5,4399703.68,6.63,6.53,6.2355378186001404,10.205824928
694289.49,4399703.68,7.16,7.06,6.2355378186001404,10.43889233
694289.49,4399703.68,7.67,7.57,6.235363285674941,10.671560887
694289.49,4399703.68,8.14,8.04,6.235363285674941,10.905782718
694289.48,4399703.68,8.56,8.46,6.2355378186001404,11.138919813
694289.48,4399703.69,8.92,8.82,6.2355378186001404,11.405484967
694289.48,4399703.69,9.22,9.12,6.2355378186001404,11.638634102
